Model Type,Log Combination,Best Model,MAPE (%)
AdaBoost,PHIN + VSH + Vp,A14,10.0
AdaBoost,PHIN + VSH,A8,10.1
AdaBoost,PHIN + VSH + RHOB,A11,10.1
AdaBoost,PHIN + VSH + Vp + RHOB,A15,10.1
AdaBoost,PHIN + Vp + RHOB,A12,10.2
AdaBoost,PHIN + Vp,A9,10.4
AdaBoost,PHIN + RHOB,A5,10.4
AdaBoost,PHIN,A2,10.6
AdaBoost,VSH + Vp + RHOB,A13,16.9
AdaBoost,VSH + Vp,A10,17.0
AdaBoost,Vp + RHOB,A7,18.1
AdaBoost,Vp,A4,18.1
AdaBoost,VSH + RHOB,A6,19.0
AdaBoost,RHOB,A1,20.1
AdaBoost,VSH,A3,22.0
Linear,PHIN + VSH + RHOB,A11,9.2
Linear,PHIN + VSH + Vp + RHOB,A15,9.2
Linear,PHIN + VSH + Vp,A14,9.5
Linear,PHIN + VSH,A8,10.0
Linear,PHIN + RHOB,A5,10.1
Linear,PHIN + Vp + RHOB,A12,10.1
Linear,PHIN + Vp,A9,10.5
Linear,PHIN,A2,10.9
Linear,VSH + Vp + RHOB,A13,16.4
Linear,VSH + Vp,A10,16.4
Linear,Vp + RHOB,A7,18.2
Linear,Vp,A4,18.2
Linear,VSH + RHOB,A6,18.4
Linear,RHOB,A1,20.3
Linear,VSH,A3,22.0
RF,PHIN + VSH + Vp + RHOB,A15,7.2
RF,PHIN + VSH + Vp,A14,7.3
RF,PHIN + VSH + RHOB,A11,7.5
RF,PHIN + VSH,A8,8.5
RF,PHIN + Vp + RHOB,A12,8.9
RF,PHIN + Vp,A9,8.9
RF,PHIN + RHOB,A5,9.2
RF,PHIN,A2,9.8
RF,VSH + Vp + RHOB,A13,14.9
RF,VSH + Vp,A10,15.5
RF,Vp + RHOB,A7,17.4
RF,Vp,A4,17.8
RF,VSH + RHOB,A6,18.1
RF,RHOB,A1,19.9
RF,VSH,A3,22.0
XGBoost,PHIN + VSH + Vp + RHOB,A15,6.3
XGBoost,PHIN + VSH + Vp,A14,6.8
XGBoost,PHIN + VSH + RHOB,A11,7.3
XGBoost,PHIN + VSH,A8,8.6
XGBoost,PHIN + Vp + RHOB,A12,8.8
XGBoost,PHIN + Vp,A9,8.9
XGBoost,PHIN + RHOB,A5,9.1
XGBoost,PHIN,A2,10.1
XGBoost,VSH + Vp + RHOB,A13,14.5
XGBoost,VSH + Vp,A10,15.6
XGBoost,Vp + RHOB,A7,17.3
XGBoost,Vp,A4,17.8
XGBoost,VSH + RHOB,A6,18.1
XGBoost,RHOB,A1,19.9
XGBoost,VSH,A3,21.0
